Id,Pid,Lvl,"Method","GlobalId","Par01","Par02","Par03","Par04","Par05","Par06","Par07","Par08","Par09"
0,-1,-2,"XbimEditorCredentials","","Databáze datového standardu stavebnictví","Michal Kopecký","DDSS","0.91","Žák","Josef","Česká agentura pro standardizaci","",""
0,-1,-2,"IfcClassification","","DSS","","","","","","","",""
0,-1,-2,"IfcClassification","","CCI:ET","","","","","","","",""
0,-1,-2,"IfcClassification","","CCI:CS","","","","","","","",""
0,-1,-2,"IfcClassification","","CCI:BE","","","","","","","",""
0,-1,-2,"IfcClassification","","CCI:BS","","","","","","","",""
0,-1,-2,"IfcClassification","","CCI:FS","","","","","","","",""
1,-1,-1,"IfcProjectLibrary","","Úroveň potřebných informací","","","","","","","",""
55006,1,0,"IfcRelAssignsToControl","0WfnqBiDXvDla6OKo9GpJz","Územně analytická data","Územně analytická data","Požadavek na data","","","","","",""
5,1,0,"IfcRelAssignsToActor","3vDhz8vYjqoJgPb2Txpw7i","Admin","","","","","","","",""
11,1,0,"IfcRelAssignsToProcess","2eIW_jwQ6229NqftPiBuT2","Dokumentace skutečného provedení stavby","Dokumentace skutečného provedení stavby","true","","","","","",""
524531,1,0,"IfcClassificationReference","0$6hBKgrfv9MPCumFl0fyI","Pozemní stavby","Pozemní stavby","52453","","","","","","DSS"
524541,524531,1,"IfcClassificationReference","3YvP38K5rxWK_r1ZijCQmM","Stavebně architektonické řešení","Stavebně architektonické řešení","52454","52453","","","","","DSS"
895911,524541,2,"IfcClassificationReference","1fNQWZMB$69BqcqEY7x6$Q","IfcDistributionElements","Technická zařízení budov","89591","52454","","","","","DSS"
896151,895911,3,"IfcClassificationReference","12sfxitQfFNvmowsPcoP_y","IfcEvaporativeCooler","Adiabatický chladič","89615","89591","","","","","DSS"
896151,1,0,"IfcRelAssociatesClassification","","","","","","","","","",""
100,1,0,"IfcRelDeclares","","","","","","","","","",""
77582,100,1,"IfcPropertySetTemplate","25AkZtlDVzuZDwc0GIrYPx","Pset_EnvironmentalImpactIndicators","Ukazatele vlivu na životní prostředí","","","","","","",""
77584,77582,1,"IfcSimplePropertyTemplate","20XMepaB4FzzbHGGxzpxyr","Reference","Reference ID for this specified type in this project (e.g. type 'A-1'). Used to store the non-classification driven internal project type.","","IfcIdentifier","P_SINGLEVALUE","","","Reference","Reference ID for this specified type in this project (e.g. type 'A-1'). Used to store the non-classification driven internal project type."
78332,100,1,"IfcPropertySetTemplate","2UvLQTs8SHlv7ZzfuJ63Vs","Pset_Condition","Stav","","","","","","",""
78334,78332,1,"IfcSimplePropertyTemplate","1W0P2uEYMfGjjSB09IE$NV","AssessmentDate","Date on which the overall condition is assessed","","IfcDate","P_SINGLEVALUE","","","AssessmentDate","Date on which the overall condition is assessed"
